Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
12/31/2021,"1,659","3,304",1.41,0,"1,129",196,0,0,536
12/30/2021,"1,431","1,550",0.68,0,"1,361",79,0,0,242
12/29/2021,"1,454","2,213",0.97,0,"1,071",112,0,0,293
12/28/2021,"1,721","4,638",1.96,0,"1,049",198,0,0,593
12/27/2021,"1,909","7,637",3.81,0,"1,180",224,12,24,860
12/26/2021,"1,661","5,542",2.37,0,"1,242",180,18,0,575
12/25/2021,"1,305",547,0.24,0,"1,406",34,0,0,86
12/24/2021,"1,238",0,0,0,"1,440",0,0,0,0
12/23/2021,"1,948","5,621",2.46,0,"1,104",336,0,0,956
12/22/2021,"1,565","4,060",1.78,0,"1,271",169,0,0,444
12/21/2021,"1,599","4,977",2.45,0,"1,306",124,0,10,452
12/20/2021,"1,794","5,842",2.51,0,"1,201",228,9,2,697
12/19/2021,"1,231",0,0,0,"1,440",0,0,0,0
12/18/2021,"1,231",0,0,0,"1,440",0,0,0,0
12/17/2021,"1,608","3,590",1.57,0,"1,268",162,8,2,476
12/16/2021,"1,793","5,523",2.34,0,"1,181",259,0,0,730
12/15/2021,"1,597","3,674",1.58,0,"1,258",182,0,0,478
12/14/2021,"1,642","3,730",1.63,0,"1,142",204,0,0,544
12/13/2021,"1,688","6,087",2.63,0,"1,260",170,6,4,561
12/12/2021,"1,549","3,422",1.5,0,"1,064",158,0,0,432
12/11/2021,"1,528","3,306",1.44,0,"1,288",152,0,0,401
12/10/2021,"2,025","10,370",4.57,0,"1,145",217,40,38,999
12/9/2021,"1,226",0,0,0,"1,440",0,0,0,0
12/8/2021,"1,731","6,375",2.7,0,"1,236",197,6,1,607
12/7/2021,"1,706","4,033",1.76,0,"1,232",198,7,3,597
12/6/2021,"1,851","10,221",5.51,0,"1,290",102,3,45,675
12/5/2021,"1,391","1,776",0.78,0,"1,182",83,0,0,224
12/4/2021,"1,797","8,193",3.49,0,"1,088",198,42,0,751
12/3/2021,"1,425","1,278",0.56,0,"1,351",89,0,0,211
12/2/2021,"1,536","2,638",1.15,0,"1,283",157,0,0,384
12/1/2021,"1,476","2,603",1.14,0,"1,323",117,0,0,291
11/30/2021,"1,496","2,325",1.03,0,"1,237",119,0,0,312
11/29/2021,"1,486","2,080",0.91,0,"1,325",115,0,0,287
11/28/2021,"1,605","3,697",1.62,0,"1,158",178,3,7,500
11/27/2021,"1,516","2,903",1.27,0,"1,192",160,0,0,393
11/26/2021,"1,468","2,098",0.92,0,"1,233",117,0,0,311
11/25/2021,"1,654","3,843",1.68,0,"1,208",232,0,0,582
11/24/2021,"1,796","5,469",2.39,0,"1,198",232,10,0,699
11/23/2021,"1,646","4,552",1.99,0,"1,238",202,0,0,566
11/22/2021,"2,077","7,569",3.3,0,"1,064",349,26,1,"1,111"
11/21/2021,"1,489","3,054",1.34,0,"1,299",141,0,0,360
11/20/2021,"2,144","13,620",5.98,0,"1,130",213,35,62,"1,155"
11/19/2021,"1,513","3,361",1.47,0,"1,343",85,3,9,314
11/18/2021,"1,658","6,552",3.43,0,"1,283",128,0,29,523
11/17/2021,"1,628","5,086",2.46,0,"1,254",174,0,12,523
11/16/2021,"1,809","6,120",2.67,0,"1,169",271,0,0,741
11/15/2021,"1,865","10,751",5.71,0,"1,237",169,0,34,735
11/14/2021,"1,408","1,827",0.78,0,"1,104",72,0,0,218
11/13/2021,"1,721","5,790",2.61,0,"1,250",162,23,5,626
11/12/2021,"1,571","4,009",1.79,0,"1,228",130,0,0,385
11/11/2021,"1,480","2,102",0.93,0,"1,341",99,0,0,273
11/10/2021,"1,512","2,263",0.99,0,"1,312",128,0,0,327
11/9/2021,"1,492","2,056",0.9,0,"1,315",125,0,0,325
11/8/2021,"1,893","10,627",5.62,0,"1,237",153,4,46,788
11/7/2021,"1,973","9,440",4.12,0,"1,224",179,4,33,761
11/6/2021,"1,685","4,625",2.02,0,"1,236",194,9,1,578
11/5/2021,"1,491","3,429",1.51,0,"1,332",108,0,0,342
11/4/2021,"1,727","8,198",4.63,0,"1,326",70,1,43,589
11/3/2021,"1,870","11,391",6.16,0,"1,294",97,1,48,760
11/2/2021,"1,746","8,343",3.95,0,"1,290",117,13,20,635
11/1/2021,"1,444","2,643",1.15,0,"1,330",110,0,0,293
10/31/2021,"1,909","11,866",6.29,0,"1,209",104,1,61,805
10/30/2021,"1,615","6,904",2.71,0,"1,162",134,6,4,488
10/29/2021,"1,587","2,178",0.95,0,"1,282",158,0,0,411
10/28/2021,"1,355","1,379",0.6,0,"1,365",75,0,0,180
10/27/2021,"1,748","8,690",4.65,0,"1,327",72,1,40,603
10/26/2021,"1,459","3,504",1.45,0,"1,346",85,4,5,296
10/25/2021,"1,709","7,737",4.07,0,"1,307",112,0,21,587
10/24/2021,"1,625","5,261",2.22,0,"1,203",173,0,0,521
10/23/2021,"1,396","6,180",2.7,0,"1,403",0,0,37,199
10/22/2021,"1,535","4,151",1.8,0,"1,233",146,0,0,415
10/21/2021,"1,387","1,606",0.7,0,"1,357",83,0,0,219
10/20/2021,"1,332","1,403",0.6,0,"1,238",56,0,0,151
10/19/2021,"1,738","8,569",4.32,0,"1,235",104,1,23,608
10/18/2021,"1,375","1,813",0.82,0,"1,369",71,0,0,196
10/17/2021,"1,229",0,0,0,"1,440",0,0,0,0
10/16/2021,"1,339","1,386",0.61,0,"1,387",53,0,0,152
10/15/2021,"1,914","11,040",5.56,0,"1,177",153,1,27,822
