Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/3/2020,"1,636","3,680",1.59,0,"1,244",196,0,0,524
10/2/2020,"1,486","1,455",0.64,0,"1,337",103,0,0,280
10/1/2020,"1,673","3,896",1.69,0,714,158,20,1,538
9/30/2020,"1,704","6,113",2.69,0,"1,237",194,4,5,601
9/29/2020,"1,565","3,190",1.39,0,"1,289",139,8,4,405
9/28/2020,"1,562","5,509",2.91,0,"1,349",55,3,33,363
9/27/2020,"1,885","7,461",3.26,0,"1,085",196,55,0,824
9/26/2020,"1,757","6,236",2.74,0,"1,205",235,0,0,664
9/25/2020,"1,547","3,724",1.63,0,"1,294",140,6,0,393
9/24/2020,"1,926","10,153",5.2,0,"1,197",192,18,33,835
9/23/2020,"1,734","5,867",3.12,0,"1,266",137,4,33,561
9/22/2020,"1,924","10,087",5.61,0,"1,206",161,11,62,809
9/21/2020,"1,812","10,116",5.74,0,"1,264",100,14,62,671
9/20/2020,"1,576","2,706",1.18,0,"1,277",163,0,0,451
9/19/2020,"1,530","3,477",1.49,0,"1,307",124,6,3,395
9/18/2020,"1,745","3,724",1.63,0,"1,180",260,0,0,643
9/17/2020,"1,785","10,231",5.63,0,"1,279",83,8,70,645
9/16/2020,"1,796","10,384",5.82,0,"1,276",100,4,60,662
9/15/2020,"1,824","10,004",5.22,0,"1,256",148,3,33,678
9/14/2020,"1,655","5,987",3.19,0,"1,303",100,5,32,478
9/13/2020,"1,808","10,205",5.59,0,"1,264",103,9,64,690
9/12/2020,"1,554","3,921",1.77,0,"1,295",145,0,0,424
9/11/2020,"1,794","7,559",3.84,0,"1,125",170,12,36,713
9/10/2020,"1,831","7,939",4,0,"1,224",170,1,45,750
9/9/2020,"1,464","2,800",1.31,0,"1,344",96,0,0,270
9/8/2020,"1,666","6,392",3.14,0,"1,273",131,2,34,526
9/7/2020,"1,466","5,672",2.48,0,"1,367",40,26,7,276
9/6/2020,"1,276",346,0.15,0,"1,417",23,0,0,53
9/5/2020,"1,619","4,222",1.84,0,"1,285",137,16,2,493
9/4/2020,"1,645","4,331",1.88,0,"1,255",185,0,0,510
9/3/2020,"1,731","6,531",3.58,0,"1,254",152,1,33,586
9/2/2020,"1,842","6,478",3.41,0,"1,224",179,7,30,693
9/1/2020,"1,483","7,598",3.56,0,"1,364",22,28,26,311
8/31/2020,"1,789","6,669",3.46,0,"1,231",173,5,31,661
8/30/2020,"1,413","1,454",0.64,0,"1,353",87,0,0,233
8/29/2020,"1,830","5,653",2.46,0,"1,173",259,8,0,760
8/28/2020,"2,024","10,144",4.66,0,684,178,19,54,920
8/27/2020,"1,854","10,033",5.18,0,"1,254",123,12,51,696
8/26/2020,"1,837","10,595",5.69,0,"1,245",125,6,64,731
8/25/2020,"1,749","7,018",3.73,0,"1,280",120,1,39,585
8/24/2020,"1,862","6,856",3.55,0,"1,225",173,2,40,737
8/23/2020,"1,798","6,547",2.86,0,"1,223",172,39,6,687
8/22/2020,"1,505","1,568",0.69,0,"1,316",124,0,0,341
8/21/2020,"1,876","7,774",3.97,0,"1,199",199,9,33,792
8/20/2020,"1,843","10,107",5.33,0,"1,249",140,7,44,714
8/19/2020,"1,820","10,127",5.57,0,"1,263",98,14,65,664
8/18/2020,"2,006","10,775",5.95,0,"1,171",189,25,55,921
8/17/2020,"1,813","8,397",4.54,0,"1,228",176,3,33,727
8/16/2020,"1,694","6,638",3.54,0,"1,179",136,4,33,576
